"ASIA  INTERNET USE, POPULATION STATISTICS DATA  AND FACEBOOK DATA - JANUARY 31, 2020","ASIA  INTERNET USE, POPULATION STATISTICS DATA  AND FACEBOOK DATA - JANUARY 31, 2020.1","ASIA  INTERNET USE, POPULATION STATISTICS DATA  AND FACEBOOK DATA - JANUARY 31, 2020.2","ASIA  INTERNET USE, POPULATION STATISTICS DATA  AND FACEBOOK DATA - JANUARY 31, 2020.3","ASIA  INTERNET USE, POPULATION STATISTICS DATA  AND FACEBOOK DATA - JANUARY 31, 2020.4","ASIA  INTERNET USE, POPULATION STATISTICS DATA  AND FACEBOOK DATA - JANUARY 31, 2020.5","ASIA  INTERNET USE, POPULATION STATISTICS DATA  AND FACEBOOK DATA - JANUARY 31, 2020.6"
ASIA,Population  ( 2020 Est.),"Internet Users,  (Year 2000)",Internet Users  31-MAY-2020,Penetration  % Population,Users  % Asia,Facebook 31-MAR-2020
Afganistan,38928346,1000,7337489,18.8  %,0.3  %,3848400
Armenia,2963243,30000,2126716,71.8  %,0.1  %,1252000
Azerbaijan,10139177,12000,7991630,78.8  %,0.3  %,1854000
Bangladesh,164689383,100000,96199000,58.4  %,4.2  %,33713000
