AFRICA 2020 POPULATION AND INTERNET USERS STATISTICS,AFRICA 2020 POPULATION AND INTERNET USERS STATISTICS.1,AFRICA 2020 POPULATION AND INTERNET USERS STATISTICS.2,AFRICA 2020 POPULATION AND INTERNET USERS STATISTICS.3,AFRICA 2020 POPULATION AND INTERNET USERS STATISTICS.4,AFRICA 2020 POPULATION AND INTERNET USERS STATISTICS.5,AFRICA 2020 POPULATION AND INTERNET USERS STATISTICS.6
AFRICA,Population  (2020 Est.),InternetUsers  31-Dec-2000,InternetUsers  31-DEC-2019,Penetration  (% Population),InternetGrowth % 2000 - 2020,Facebook  subscribers31-DEC-2019
Algeria,43851044,50000,25428159,58.0 %,"50,756 %",19000000
Angola,32866272,30000,7078067,21.5 %,"23,493 %",2244000
Benin,12123200,15000,3801758,31.4 %,"25,245 %",920000
Botswana,2351627,15000,1116079,47.5 %,"6,455 %",830000
