"Internet Usage,  Facebook Subscribers and Population  Statistics for all the Americas World Region Countries  March 31, 2020","Internet Usage,  Facebook Subscribers and Population  Statistics for all the Americas World Region Countries  March 31, 2020.1","Internet Usage,  Facebook Subscribers and Population  Statistics for all the Americas World Region Countries  March 31, 2020.2","Internet Usage,  Facebook Subscribers and Population  Statistics for all the Americas World Region Countries  March 31, 2020.3","Internet Usage,  Facebook Subscribers and Population  Statistics for all the Americas World Region Countries  March 31, 2020.4","Internet Usage,  Facebook Subscribers and Population  Statistics for all the Americas World Region Countries  March 31, 2020.5","Internet Usage,  Facebook Subscribers and Population  Statistics for all the Americas World Region Countries  March 31, 2020.6"
THE AMERICAS,Population  ( 2020 Est. ),Pop. %  Table,Internet Usage  31-Mar-2020,% Population  (Penetration),Internet % Users,Facebook 29-Feb-2020
Anguilla,14909,0.0 %,12557,84.2 %,0.0 %,9000
Antigua & Barbuda,103050,0.0 %,81900,79.5 %,0.0 %,62000
Argentina,44688864,4.4 %,41586960,93.1 %,5.3 %,30000000
Aruba,105670,0.0 %,100000,94.6 %,0.0 %,91000
